departure_date,sales_team,pol,pod,trans_mode,shipment_type,weight_kg,volume_cbm,booking_system,lead_time,cancel_status,final_sort_type,seller_type,gl_product_group_desc,order number
2020-11-08,US DSR,SZX,USSBT,OCEAN,LCL,6306.7570175438605,38.14791228070175,SC,28.736842105263158,N,Sort,NEW,others,57
2020-11-15,US DSR,HKG,USSAV,OCEAN,LCL,7114.719811320755,45.29758490566038,SC,34.339622641509436,N,Sort,NEW,others,53
2020-11-22,US DSR,PVG,USSAV,OCEAN,LCL,5014.948545454545,24.793745454545455,SC,31.509090909090908,N,Sort,NEW,others,55
2020-11-29,EU DSR,PVG,USSTL,OCEAN,LCL,5948.874054054054,29.031351351351354,SC,35.432432432432435,N,Sort,NEW,others,37
2020-12-06,US DSR,SZX,USOAK,OCEAN,LCL,6082.88609375,31.148125,SC,30.828125,N,Sort,NEW,others,64
2020-12-13,CN DSR,HKG,USLGB,OCEAN,LCL,5125.8083720930235,26.31560465116279,SC,27.023255813953487,N,Sort,NEW,others,43
2020-12-20,US DSR,HKG,USSEA,OCEAN,LCL,8090.638301886793,38.49377358490566,SC,34.43396226415094,N,Sort,NEW,others,53
2020-12-27,US DSR,SZX,USSAV,OCEAN,LCL,6529.25,35.97441379310345,SC,35.36206896551724,N,Sort,NEW,others,58
2021-01-03,US DSR,PVG,USSAV,OCEAN,LCL,6242.279302325582,35.438534883720926,SC,30.953488372093023,N,Sort,NEW,others,43
2021-01-10,CN DSR,HKG,USSAV,OCEAN,LCL,4831.899189189189,29.91210810810811,SC,26.675675675675677,N,Sort,NEW,others,37
2021-01-17,CN DSR,XMN,USSAV,OCEAN,LCL,5539.638000000001,28.395599999999998,SC,29.58,N,Sort,NEW,others,50
2021-01-24,CN DSR,SZX,USOAK,OCEAN,LCL,6681.653695652174,35.85021739130435,SC,35.32608695652174,N,Sort,NEW,others,46
2021-01-31,US DSR,PVG,USNYC,OCEAN,LCL,5558.928571428572,27.990257142857143,SC,29.957142857142856,N,Sort,NEW,others,70
2021-02-07,US DSR,PVG,USSAV,OCEAN,LCL,6085.29524590164,30.18404918032787,SC,31.459016393442624,N,Sort,NEW,others,61
2021-02-14,US DSR,HKG,USSAV,OCEAN,LCL,6585.153725490195,39.33080392156863,SC,34.64705882352941,N,Sort,NEW,others,51
2021-02-21,US DSR,CNYTN,USSEA,OCEAN,LCL,6515.027192982456,34.75538596491228,SC,37.666666666666664,N,Sort,NEW,others,57
2021-02-28,EU DSR,SZX,USSAV,OCEAN,LCL,5027.026190476191,19.841142857142856,SC,29.904761904761905,N,Sort,NEW,others,21
2021-03-07,CN DSR,SZX,USOAK,OCEAN,LCL,4647.289444444445,29.06990740740741,SC,33.870370370370374,N,Sort,NEW,others,54
