departure_date,sales_team,pol,pod,trans_mode,shipment_type,weight_kg,volume_cbm,booking_system,lead_time,cancel_status,final_sort_type,seller_type,gl_product_group_desc,order number
2020-11-15,CN DSR,CNYTN,USSAV,OCEAN,FCL,11223.5,63.957499999999996,AGL,44.625,N,Sort,NEW,gl_furniture,8
2020-11-22,CN DSR,CNXMN,USSEA,OCEAN,FCL,11163.0,61.19500000000001,AGL,41.8,N,Sort,NEW,gl_furniture,10
2020-11-29,CN DSR,CNYTN,USSAV,OCEAN,LCL,13141.132222222222,56.22655555555556,AGL,51.55555555555556,N,NonSort,NEW,gl_furniture,9
2020-12-06,US DSR,CNYTN,USLGB,OCEAN,FCL,12451.333333333334,56.79333333333333,SC,42.55555555555556,N,NonSort,NEW,gl_furniture,9
2020-12-13,CN DSR,SZX,USCHI,OCEAN,FCL,3880.25,29.1675,AGL,21.5,N,Sort,NEW,gl_furniture,4
2020-12-20,CN DSR,CNYTN,USSAV,OCEAN,LCL,11896.081999999999,53.0705,AGL,50.6,N,Sort,NEW,gl_furniture,10
2020-12-27,CN DSR,CNXMN,USSAV,OCEAN,FCL,12993.0,62.8,AGL,48.2,N,Sort,NEW,gl_furniture,5
2021-01-03,CN DSR,CNXMN,USLAX,OCEAN,FCL,13548.333333333334,66.46333333333332,AGL,42.333333333333336,N,Sort,NEW,gl_furniture,3
2021-01-10,CN DSR,HKG,USSAV,OCEAN,FCL,10556.875,59.149166666666666,AGL,42.166666666666664,N,Sort,NEW,gl_furniture,12
2021-01-17,CN DSR,CNYTN,USLAX,OCEAN,FCL,10737.818181818182,58.45636363636363,AGL,35.27272727272727,N,Sort,NEW,gl_furniture,11
2021-01-24,CN DSR,CNXMN,USSEA,OCEAN,FCL,14400.033000000001,69.901,AGL,36.4,N,Sort,NEW,gl_furniture,10
2021-01-31,CN DSR,CNYTN,USSEA,OCEAN,LCL,11138.237142857144,55.31478571428571,SC,43.07142857142857,N,Sort,NEW,gl_furniture,14
